Chip Run Info,C:\Users\Teyton Lab\Contacts\Desktop\Marie data (Mouse)\Macrophages\041118MHMacropahges1-1\ChipRun.bml,1131264279,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,4/11/2018 8:43:59 PM,00:31:53,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S03-A32,7wImac3,Unknown,1,CD86,Test,17.8612312629696,1,Pass,0.0139966567593099,80.209961812587,999,1,
S03-A33,7wImac3,Unknown,1,H2-AA,Test,7.36592905450939,1,Pass,0.0139966567593099,84.8290441403814,999,1,
S03-A34,7wImac3,Unknown,1,LAMP2,Test,12.9246764721309,1,Pass,0.0139966567593099,82.0029710203275,999,1,
S03-A35,7wImac3,Unknown,1,SELENOP,Test,12.0386531493198,1,Pass,0.0139966567593099,81.0334740330041,999,1,
S03-A36,7wImac3,Unknown,1,blank1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S03-A37,7wImac3,Unknown,1,CCR7,Test,999,0,Fail,0.0139966567593099,999,999,0,
S03-A38,7wImac3,Unknown,1,CSF1R,Test,11.3452615001161,1,Pass,0.0139966567593099,82.1884433538935,999,1,
S03-A39,7wImac3,Unknown,1,H2-DMA,Test,11.9184192005548,1,Pass,0.0139966567593099,83.0942429908723,999,1,
S03-A40,7wImac3,Unknown,1,LY6G,Test,999,0,Fail,0.0139966567593099,999,999,0,
S03-A41,7wImac3,Unknown,1,SGPL1,Test,15.3875731549378,1,Pass,0.0139966567593099,83.2838254901812,999,1,
S03-A42,7wImac3,Unknown,1,blank2,Test,999,0,Fail,0.0139966567593099,999,999,0,
S03-A43,7wImac3,Unknown,1,CD14,Test,19.0651255030513,1,Pass,0.0139966567593099,83.6691545917346,999,1,
