Chip Run Info,C:\Users\Teyton Lab\Contacts\Desktop\Marie data (Mouse)\Macrophages\062618MHMacrophages3-2\ChipRun.bml,1131264280,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,6/25/2018 8:50:24 PM,00:30:45,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S47-A31,7wM6mac30,Unknown,1,CCL22,Test,999,0,Fail,0.0141259454859772,999,999,0,
S47-A32,7wM6mac30,Unknown,1,CD86,Test,19.5864381818104,1,Pass,0.0141259454859772,80.1307352174021,999,1,
S47-A33,7wM6mac30,Unknown,1,H2-AA,Test,8.5372548409577,1,Pass,0.0141259454859772,84.6982617144519,999,1,
S47-A34,7wM6mac30,Unknown,1,LAMP2,Test,14.5306419271291,1,Pass,0.0141259454859772,81.9811178189111,999,1,
S47-A35,7wM6mac30,Unknown,1,SELENOP,Test,13.8088005995721,1,Pass,0.0141259454859772,80.9385928844799,999,1,
S47-A36,7wM6mac30,Unknown,1,HIF1A,Test,15.2722153126942,1,Pass,0.0141259454859772,76.156953187536,999,1,
S47-A37,7wM6mac30,Unknown,1,CCR7,Test,999,0,Fail,0.0141259454859772,999,999,0,
S47-A38,7wM6mac30,Unknown,1,CSF1R,Test,13.2708475600301,1,Pass,0.0141259454859772,82.0554045942312,999,1,
S47-A39,7wM6mac30,Unknown,1,H2-DMA,Test,13.3190582431892,1,Pass,0.0141259454859772,82.9984491620121,999,1,
S47-A40,7wM6mac30,Unknown,1,LY6G,Test,999,0,Fail,0.0141259454859772,999,999,0,
S47-A41,7wM6mac30,Unknown,1,SGPL1,Test,16.7283287914391,1,Pass,0.0141259454859772,83.1763673760726,999,1,
S47-A42,7wM6mac30,Unknown,1,LTA,Test,999,0,Fail,0.0141259454859772,999,999,0,
S47-A43,7wM6mac30,Unknown,1,CD14,Test,17.2407489772409,1,Pass,0.0141259454859772,83.4354597843588,999,1,
S47-A44,7wM6mac30,Unknown,1,CTSD,Test,16.2305038739616,1,Pass,0.0141259454859772,82.2790525362068,999,1,
S47-A45,7wM6mac30,Unknown,1,HIF2A,Test,999,0,Fail,0.0141259454859772,999,999,0,
S47-A46,7wM6mac30,Unknown,1,LY75,Test,999,0,Fail,0.0141259454859772,999,999,0,
S47-A47,7wM6mac30,Unknown,1,SPHK1,Test,16.569132397107,1,Pass,0.0141259454859772,87.7211095990989,999,1,
S47-A48,7wM6mac30,Unknown,1,LTB,Test,24.4697532552717,0,Fail,0.0141259454859772,999,88.1614478673119,0,
S02-A01,7wM5mac4,Unknown,1,ABCA1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S02-A02,7wM5mac4,Unknown,1,CD164,Test,16.1829618603696,1,Pass,0.0141259454859772,80.6099216543076,999,1,
S02-A03,7wM5mac4,Unknown,1,CXCL10,Test,999,0,Fail,0.0141259454859772,999,999,0,
S02-A04,7wM5mac4,Unknown,1,IL1A,Test,999,0,Fail,0.0141259454859772,999,999,0,
S02-A05,7wM5mac4,Unknown,1,LYVE1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S02-A06,7wM5mac4,Unknown,1,SPP1,Test,24.6051443163355,0,Fail,0.0141259454859772,999,83.1722748641105,0,
S02-A07,7wM5mac4,Unknown,1,B2M,Test,10.3395276489562,1,Pass,0.0141259454859772,81.0730722350812,999,1,
S02-A08,7wM5mac4,Unknown,1,PDL1,Test,14.2773816384486,1,Pass,0.0141259454859772,82.2632929658338,999,1,
S02-A09,7wM5mac4,Unknown,1,CXCL9,Test,14.5542104341642,1,Pass,0.0141259454859772,80.801899614881,999,1,
S02-A10,7wM5mac4,Unknown,1,IL1B,Test,12.6471095615946,1,Pass,0.0141259454859772,79.3583957582906,999,1,
S02-A11,7wM5mac4,Unknown,1,MDK,Test,16.6360861573128,1,Pass,0.0141259454859772,80.6933239270758,999,1,
S02-A12,7wM5mac4,Unknown,1,TLR4,Test,18.1132463311199,1,Pass,0.0141259454859772,78.9063405793084,999,1,
S02-A13,7wM5mac4,Unknown,1,CCL1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S02-A14,7wM5mac4,Unknown,1,CD40,Test,15.3153797660244,1,Pass,0.0141259454859772,81.9223642037063,999,1,
S02-A15,7wM5mac4,Unknown,1,F4-80,Test,24.1389379773057,0.9638313836439,Pass,0.0141259454859772,81.9480082279266,999,1,
S02-A16,7wM5mac4,Unknown,1,IL6,Test,999,0,Fail,0.0141259454859772,999,999,0,
S02-A17,7wM5mac4,Unknown,1,PDPN,Test,999,0,Fail,0.0141259454859772,999,999,0,
S02-A18,7wM5mac4,Unknown,1,TPP1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S02-A19,7wM5mac4,Unknown,1,CCL2,Test,999,0,Fail,0.0141259454859772,999,999,0,
S02-A20,7wM5mac4,Unknown,1,CD74,Test,9.59764326829642,1,Pass,0.0141259454859772,80.4407390370266,999,1,
S02-A21,7wM5mac4,Unknown,1,FCGR3,Test,999,0,Fail,0.0141259454859772,999,999,0,
S02-A22,7wM5mac4,Unknown,1,ITGAM,Test,16.1453361389667,1,Pass,0.0141259454859772,80.1202521329807,999,1,
S02-A23,7wM5mac4,Unknown,1,PROX1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S02-A24,7wM5mac4,Unknown,1,VEGFC,Test,999,0,Fail,0.0141259454859772,999,999,0,
S02-A25,7wM5mac4,Unknown,1,CCL21A,Test,16.8383209149258,1,Pass,0.0141259454859772,77.9099549445027,999,1,
S02-A26,7wM5mac4,Unknown,1,CD80,Test,20.3049019799093,1,Pass,0.0141259454859772,78.8646162485307,999,1,
S02-A27,7wM5mac4,Unknown,1,VEGF-R3,Test,999,0,Fail,0.0141259454859772,999,999,0,
S02-A28,7wM5mac4,Unknown,1,ITGAX,Test,13.937321007638,1,Pass,0.0141259454859772,80.0350226824315,999,1,
S02-A29,7wM5mac4,Unknown,1,S1PR1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S02-A30,7wM5mac4,Unknown,1,XCR1,Test,999,0,Fail,0.0141259454859772,999,999,0,
S02-A31,7wM5mac4,Unknown,1,CCL22,Test,999,0,Fail,0.0141259454859772,999,999,0,
S02-A32,7wM5mac4,Unknown,1,CD86,Test,18.2095155868565,1,Pass,0.0141259454859772,80.0849081673226,999,1,
