Chip Run Info,C:\Users\Teyton Lab\Contacts\Desktop\Marie data (Mouse)\Macrophages\042518MHMacrophage1-2\ChipRun.bml,1131264276,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,4/24/2018 8:52:07 PM,00:30:44,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S47-A28,7wImac95,Unknown,1,ITGAX,Test,15.8871651462038,0.957390218304509,Pass,0.00565095684104357,79.9878853630437,999,1,
S47-A29,7wImac95,Unknown,1,S1PR1,Test,18.1282114746809,0.960481749296206,Pass,0.00565095684104357,86.034288571804,999,1,
S47-A30,7wImac95,Unknown,1,XCR1,Test,999,0,Fail,0.00565095684104357,999,999,0,
S47-A31,7wImac95,Unknown,1,CCL22,Test,999,0,Fail,0.00565095684104357,999,999,0,
S47-A32,7wImac95,Unknown,1,CD86,Test,21.106832394468,0.820596359157303,Pass,0.00565095684104357,80.3465072189168,999,1,
S47-A33,7wImac95,Unknown,1,H2-AA,Test,7.40429853343686,1,Pass,0.00565095684104357,84.6972982929709,999,1,
S47-A34,7wImac95,Unknown,1,LAMP2,Test,14.3437551108538,1,Pass,0.00565095684104357,82.0137879028846,999,1,
S47-A35,7wImac95,Unknown,1,SELENOP,Test,13.8284282007349,0.930083019664185,Pass,0.00565095684104357,80.9815860438165,999,1,
S47-A36,7wImac95,Unknown,1,blank1,Test,999,0,Fail,0.00565095684104357,999,999,0,
S47-A37,7wImac95,Unknown,1,CCR7,Test,999,0,Fail,0.00565095684104357,999,999,0,
S47-A38,7wImac95,Unknown,1,CSF1R,Test,10.5770663530575,1,Pass,0.00565095684104357,82.1246961631562,999,1,
S47-A39,7wImac95,Unknown,1,H2-DMA,Test,15.7655393101198,0.972562293394043,Pass,0.00565095684104357,83.0091343033086,999,1,
S47-A40,7wImac95,Unknown,1,LY6G,Test,999,0,Fail,0.00565095684104357,999,999,0,
S47-A41,7wImac95,Unknown,1,SGPL1,Test,17.0647946332084,1,Pass,0.00565095684104357,83.2502527577227,999,1,
S47-A42,7wImac95,Unknown,1,blank2,Test,999,0,Fail,0.00565095684104357,999,999,0,
S47-A43,7wImac95,Unknown,1,CD14,Test,18.4495851464135,0.93024120993844,Pass,0.00565095684104357,83.7388113220277,999,1,
S47-A44,7wImac95,Unknown,1,CTSD,Test,13.7179432326542,0.973365330687253,Pass,0.00565095684104357,82.3122699413951,999,1,
S47-A45,7wImac95,Unknown,1,IL10,Test,999,0,Fail,0.00565095684104357,999,999,0,
S47-A46,7wImac95,Unknown,1,LY75,Test,999,0,Fail,0.00565095684104357,999,999,0,
S47-A47,7wImac95,Unknown,1,SPHK1,Test,18.1852057822068,1,Pass,0.00565095684104357,87.9458502192079,999,1,
S47-A48,7wImac95,Unknown,1,blank3,Test,999,0,Fail,0.00565095684104357,999,999,0,
S02-A01,7wImac8,Unknown,1,ABCA1,Test,999,0,Fail,0.00565095684104357,999,999,0,
S02-A02,7wImac8,Unknown,1,CD164,Test,15.6889894242428,1,Pass,0.00565095684104357,80.8894774082171,999,1,
S02-A03,7wImac8,Unknown,1,CXCL10,Test,999,0,Fail,0.00565095684104357,999,999,0,
S02-A04,7wImac8,Unknown,1,IL1A,Test,999,0,Fail,0.00565095684104357,999,999,0,
S02-A05,7wImac8,Unknown,1,LYVE1,Test,999,0,Fail,0.00565095684104357,999,999,0,
S02-A06,7wImac8,Unknown,1,SPP1,Test,23.5716585190455,0,Fail,0.00565095684104357,999,83.3315289303519,0,
S02-A07,7wImac8,Unknown,1,B2M,Test,8.87513707072882,1,Pass,0.00565095684104357,81.162887062847,999,1,
S02-A08,7wImac8,Unknown,1,PDL1,Test,999,0,Fail,0.00565095684104357,999,999,0,
S02-A09,7wImac8,Unknown,1,CXCL9,Test,12.0796652571647,1,Pass,0.00565095684104357,80.6325087258038,999,1,
